Train for 937 steps, validate for 117 steps
155/937 [===>..........................] - ETA: 11:27 - loss: 0.4255 - accuracy: 0.8897For batch 155, loss is  0.0089.
156/937 [===>..........................] - ETA: 11:26 - loss: 0.4228 - accuracy: 0.8904For batch 156, loss is  0.0130.
157/937 [====>.........................] - ETA: 11:25 - loss: 0.4202 - accuracy: 0.8911For batch 157, loss is  0.0099.
158/937 [====>.........................] - ETA: 11:24 - loss: 0.4176 - accuracy: 0.8918For batch 158, loss is  0.0052.
159/937 [====>.........................] - ETA: 11:23 - loss: 0.4150 - accuracy: 0.8925For batch 159, loss is  0.0104.
160/937 [====>.........................] - ETA: 11:22 - loss: 0.4125 - accuracy: 0.8931For batch 160, loss is  0.0145.
161/937 [====>.........................] - ETA: 11:21 - loss: 0.4100 - accuracy: 0.8938For batch 161, loss is  0.0177.
162/937 [====>.........................] - ETA: 11:20 - loss: 0.4076 - accuracy: 0.8944For batch 162, loss is  0.0079.
163/937 [====>.........................] - ETA: 11:19 - loss: 0.4052 - accuracy: 0.8950For batch 163, loss is  0.0018.
164/937 [====>.........................] - ETA: 11:18 - loss: 0.4027 - accuracy: 0.8957For batch 164, loss is  0.0228.
165/937 [====>.........................] - ETA: 11:17 - loss: 0.4004 - accuracy: 0.8962For batch 165, loss is  0.0083.
166/937 [====>.........................] - ETA: 11:16 - loss: 0.3980 - accuracy: 0.8968For batch 166, loss is  0.0108.
167/937 [====>.........................] - ETA: 11:15 - loss: 0.3957 - accuracy: 0.8974For batch 167, loss is  0.0420.
168/937 [====>.........................] - ETA: 11:14 - loss: 0.3936 - accuracy: 0.8979For batch 168, loss is  0.0339.
169/937 [====>.........................] - ETA: 11:13 - loss: 0.3915 - accuracy: 0.8984For batch 169, loss is  0.0191.
170/937 [====>.........................] - ETA: 11:12 - loss: 0.3893 - accuracy: 0.8989For batch 170, loss is  0.0259.
171/937 [====>.........................] - ETA: 11:11 - loss: 0.3872 - accuracy: 0.8995For batch 171, loss is  0.0231.
172/937 [====>.........................] - ETA: 11:10 - loss: 0.3851 - accuracy: 0.9000For batch 172, loss is  0.0113.
173/937 [====>.........................] - ETA: 11:09 - loss: 0.3829 - accuracy: 0.9005For batch 173, loss is  0.0285.
174/937 [====>.........................] - ETA: 11:08 - loss: 0.3809 - accuracy: 0.9011For batch 174, loss is  0.0223.
175/937 [====>.........................] - ETA: 11:07 - loss: 0.3788 - accuracy: 0.9016For batch 175, loss is  0.0111.
176/937 [====>.........................] - ETA: 11:06 - loss: 0.3767 - accuracy: 0.9021For batch 176, loss is  0.0194.
177/937 [====>.........................] - ETA: 11:05 - loss: 0.3747 - accuracy: 0.9026For batch 177, loss is  0.0021.
178/937 [====>.........................] - ETA: 11:04 - loss: 0.3726 - accuracy: 0.9031For batch 178, loss is  0.0043.
179/937 [====>.........................] - ETA: 11:03 - loss: 0.3706 - accuracy: 0.9037For batch 179, loss is  0.0306.
180/937 [====>.........................] - ETA: 11:02 - loss: 0.3687 - accuracy: 0.9041For batch 180, loss is  0.0173.
181/937 [====>.........................] - ETA: 11:01 - loss: 0.3667 - accuracy: 0.9046For batch 181, loss is  0.0237.
182/937 [====>.........................] - ETA: 11:00 - loss: 0.3648 - accuracy: 0.9051For batch 182, loss is  0.0221.
183/937 [====>.........................] - ETA: 10:59 - loss: 0.3630 - accuracy: 0.9055For batch 183, loss is  0.0119.
184/937 [====>.........................] - ETA: 10:58 - loss: 0.3611 - accuracy: 0.9061For batch 184, loss is  0.0201.
185/937 [====>.........................] - ETA: 10:57 - loss: 0.3592 - accuracy: 0.9065For batch 185, loss is  0.0037.
186/937 [====>.........................] - ETA: 10:56 - loss: 0.3573 - accuracy: 0.9070For batch 186, loss is  0.0172.
187/937 [====>.........................] - ETA: 10:55 - loss: 0.3555 - accuracy: 0.9075For batch 187, loss is  0.0506.
188/937 [=====>........................] - ETA: 10:54 - loss: 0.3539 - accuracy: 0.9079For batch 188, loss is  0.0036.
189/937 [=====>........................] - ETA: 10:53 - loss: 0.3520 - accuracy: 0.9084For batch 189, loss is  0.0110.
190/937 [=====>........................] - ETA: 10:52 - loss: 0.3502 - accuracy: 0.9089For batch 190, loss is  0.0067.
191/937 [=====>........................] - ETA: 10:52 - loss: 0.3484 - accuracy: 0.9093For batch 191, loss is  0.0262.
192/937 [=====>........................] - ETA: 10:51 - loss: 0.3467 - accuracy: 0.9097For batch 192, loss is  0.0280.
193/937 [=====>........................] - ETA: 10:50 - loss: 0.3451 - accuracy: 0.9102For batch 193, loss is  0.0284.
194/937 [=====>........................] - ETA: 10:49 - loss: 0.3435 - accuracy: 0.9106For batch 194, loss is  0.0234.
195/937 [=====>........................] - ETA: 10:48 - loss: 0.3418 - accuracy: 0.9110For batch 195, loss is  0.0430.
196/937 [=====>........................] - ETA: 10:47 - loss: 0.3403 - accuracy: 0.9114For batch 196, loss is  0.0050.
197/937 [=====>........................] - ETA: 10:46 - loss: 0.3386 - accuracy: 0.9118For batch 197, loss is  0.0160.
198/937 [=====>........................] - ETA: 10:45 - loss: 0.3370 - accuracy: 0.9122For batch 198, loss is  0.0354.
199/937 [=====>........................] - ETA: 10:44 - loss: 0.3354 - accuracy: 0.9126For batch 199, loss is  0.0056.
200/937 [=====>........................] - ETA: 10:43 - loss: 0.3338 - accuracy: 0.9131For batch 200, loss is  0.0333.
201/937 [=====>........................] - ETA: 10:42 - loss: 0.3323 - accuracy: 0.9134For batch 201, loss is  0.0141.
202/937 [=====>........................] - ETA: 10:41 - loss: 0.3307 - accuracy: 0.9138For batch 202, loss is  0.0246.
203/937 [=====>........................] - ETA: 10:40 - loss: 0.3292 - accuracy: 0.9142For batch 203, loss is  0.0249.
204/937 [=====>........................] - ETA: 10:39 - loss: 0.3277 - accuracy: 0.9146For batch 204, loss is  0.0061.
205/937 [=====>........................] - ETA: 10:38 - loss: 0.3262 - accuracy: 0.9150For batch 205, loss is  0.0029.
206/937 [=====>........................] - ETA: 10:37 - loss: 0.3246 - accuracy: 0.9154For batch 206, loss is  0.0114.
207/937 [=====>........................] - ETA: 10:36 - loss: 0.3231 - accuracy: 0.9158For batch 207, loss is  0.0562.
208/937 [=====>........................] - ETA: 10:35 - loss: 0.3218 - accuracy: 0.9161For batch 208, loss is  0.0042.
209/937 [=====>........................] - ETA: 10:34 - loss: 0.3203 - accuracy: 0.9165For batch 209, loss is  0.0042.
210/937 [=====>........................] - ETA: 10:33 - loss: 0.3188 - accuracy: 0.9169For batch 210, loss is  0.0081.
211/937 [=====>........................] - ETA: 10:33 - loss: 0.3173 - accuracy: 0.9173For batch 211, loss is  0.0429.
212/937 [=====>........................] - ETA: 10:32 - loss: 0.3160 - accuracy: 0.9176For batch 212, loss is  0.0194.
213/937 [=====>........................] - ETA: 10:31 - loss: 0.3146 - accuracy: 0.9179For batch 213, loss is  0.0087.
214/937 [=====>........................] - ETA: 10:30 - loss: 0.3132 - accuracy: 0.9183For batch 214, loss is  0.0017.
215/937 [=====>........................] - ETA: 10:29 - loss: 0.3117 - accuracy: 0.9187For batch 215, loss is  0.0068.
216/937 [=====>........................] - ETA: 10:28 - loss: 0.3103 - accuracy: 0.9191For batch 216, loss is  0.0251.
217/937 [=====>........................] - ETA: 10:27 - loss: 0.3090 - accuracy: 0.9194For batch 217, loss is  0.0018.
218/937 [=====>........................] - ETA: 10:26 - loss: 0.3076 - accuracy: 0.9198For batch 218, loss is  0.0485.
219/937 [======>.......................] - ETA: 10:25 - loss: 0.3064 - accuracy: 0.9200For batch 219, loss is  0.0177.
220/937 [======>.......................] - ETA: 10:24 - loss: 0.3051 - accuracy: 0.9204For batch 220, loss is  0.0186.
221/937 [======>.......................] - ETA: 10:23 - loss: 0.3038 - accuracy: 0.9207For batch 221, loss is  0.0056.
222/937 [======>.......................] - ETA: 10:22 - loss: 0.3025 - accuracy: 0.9211For batch 222, loss is  0.0381.
223/937 [======>.......................] - ETA: 10:21 - loss: 0.3013 - accuracy: 0.9213For batch 223, loss is  0.0049.
224/937 [======>.......................] - ETA: 10:20 - loss: 0.2999 - accuracy: 0.9217For batch 224, loss is  0.0035.
225/937 [======>.......................] - ETA: 10:19 - loss: 0.2986 - accuracy: 0.9220For batch 225, loss is  0.0169.
226/937 [======>.......................] - ETA: 10:18 - loss: 0.2974 - accuracy: 0.9223For batch 226, loss is  0.0033.
227/937 [======>.......................] - ETA: 10:17 - loss: 0.2961 - accuracy: 0.9227For batch 227, loss is  0.0045.
228/937 [======>.......................] - ETA: 10:17 - loss: 0.2948 - accuracy: 0.9230For batch 228, loss is  0.0325.
229/937 [======>.......................] - ETA: 10:16 - loss: 0.2937 - accuracy: 0.9233For batch 229, loss is  0.0224.
230/937 [======>.......................] - ETA: 10:15 - loss: 0.2925 - accuracy: 0.9236For batch 230, loss is  0.0091.
231/937 [======>.......................] - ETA: 10:14 - loss: 0.2913 - accuracy: 0.9240For batch 231, loss is  0.0030.
232/937 [======>.......................] - ETA: 10:13 - loss: 0.2900 - accuracy: 0.9243For batch 232, loss is  0.0205.
233/937 [======>.......................] - ETA: 10:12 - loss: 0.2889 - accuracy: 0.9246For batch 233, loss is  0.0150.
234/937 [======>.......................] - ETA: 10:11 - loss: 0.2877 - accuracy: 0.9249For batch 234, loss is  0.0152.
235/937 [======>.......................] - ETA: 10:10 - loss: 0.2865 - accuracy: 0.9252For batch 235, loss is  0.0070.
236/937 [======>.......................] - ETA: 10:09 - loss: 0.2853 - accuracy: 0.9255For batch 236, loss is  0.0055.
237/937 [======>.......................] - ETA: 10:08 - loss: 0.2842 - accuracy: 0.9258For batch 237, loss is  0.0028.
238/937 [======>.......................] - ETA: 10:07 - loss: 0.2830 - accuracy: 0.9261For batch 238, loss is  0.0134.
239/937 [======>.......................] - ETA: 10:06 - loss: 0.2819 - accuracy: 0.9264For batch 239, loss is  0.0048.
240/937 [======>.......................] - ETA: 10:05 - loss: 0.2807 - accuracy: 0.9267For batch 240, loss is  0.0173.
