Train for 937 steps, validate for 117 steps
187/937 [====>.........................] - ETA: 7:04 - loss: 0.0869 - accuracy: 0.9578For batch 187, loss is  0.0037.
188/937 [=====>........................] - ETA: 7:03 - loss: 0.0864 - accuracy: 0.9580For batch 188, loss is  0.0149.
189/937 [=====>........................] - ETA: 7:02 - loss: 0.0861 - accuracy: 0.9582For batch 189, loss is  0.0037.
190/937 [=====>........................] - ETA: 7:01 - loss: 0.0856 - accuracy: 0.9584For batch 190, loss is  0.0020.
191/937 [=====>........................] - ETA: 7:01 - loss: 0.0852 - accuracy: 0.9586For batch 191, loss is  0.0008.
192/937 [=====>........................] - ETA: 7:00 - loss: 0.0847 - accuracy: 0.9588For batch 192, loss is  0.0178.
193/937 [=====>........................] - ETA: 6:59 - loss: 0.0844 - accuracy: 0.9590For batch 193, loss is  0.0153.
194/937 [=====>........................] - ETA: 6:59 - loss: 0.0840 - accuracy: 0.9592For batch 194, loss is  0.0061.
195/937 [=====>........................] - ETA: 6:58 - loss: 0.0836 - accuracy: 0.9594For batch 195, loss is  0.0062.
196/937 [=====>........................] - ETA: 6:57 - loss: 0.0832 - accuracy: 0.9596For batch 196, loss is  0.0026.
197/937 [=====>........................] - ETA: 6:57 - loss: 0.0828 - accuracy: 0.9598For batch 197, loss is  0.0110.
198/937 [=====>........................] - ETA: 6:56 - loss: 0.0825 - accuracy: 0.9599For batch 198, loss is  0.0235.
199/937 [=====>........................] - ETA: 6:55 - loss: 0.0822 - accuracy: 0.9601For batch 199, loss is  0.0079.
200/937 [=====>........................] - ETA: 6:54 - loss: 0.0818 - accuracy: 0.9603For batch 200, loss is  0.0059.
201/937 [=====>........................] - ETA: 6:54 - loss: 0.0814 - accuracy: 0.9604For batch 201, loss is  0.0029.
202/937 [=====>........................] - ETA: 6:53 - loss: 0.0810 - accuracy: 0.9606For batch 202, loss is  0.0011.
203/937 [=====>........................] - ETA: 6:53 - loss: 0.0806 - accuracy: 0.9608For batch 203, loss is  0.0042.
204/937 [=====>........................] - ETA: 6:52 - loss: 0.0803 - accuracy: 0.9610For batch 204, loss is  0.0020.
205/937 [=====>........................] - ETA: 6:51 - loss: 0.0799 - accuracy: 0.9612For batch 205, loss is  0.0049.
206/937 [=====>........................] - ETA: 6:51 - loss: 0.0795 - accuracy: 0.9614For batch 206, loss is  0.0087.
207/937 [=====>........................] - ETA: 6:50 - loss: 0.0792 - accuracy: 0.9615For batch 207, loss is  0.0009.
208/937 [=====>........................] - ETA: 6:49 - loss: 0.0788 - accuracy: 0.9617For batch 208, loss is  0.0029.
209/937 [=====>........................] - ETA: 6:48 - loss: 0.0784 - accuracy: 0.9619For batch 209, loss is  0.0009.
210/937 [=====>........................] - ETA: 6:48 - loss: 0.0781 - accuracy: 0.9621For batch 210, loss is  0.0006.
211/937 [=====>........................] - ETA: 6:47 - loss: 0.0777 - accuracy: 0.9623For batch 211, loss is  0.0027.
212/937 [=====>........................] - ETA: 6:46 - loss: 0.0774 - accuracy: 0.9624For batch 212, loss is  0.0068.
213/937 [=====>........................] - ETA: 6:46 - loss: 0.0770 - accuracy: 0.9626For batch 213, loss is  0.0067.
214/937 [=====>........................] - ETA: 6:45 - loss: 0.0767 - accuracy: 0.9628For batch 214, loss is  0.0053.
215/937 [=====>........................] - ETA: 6:44 - loss: 0.0764 - accuracy: 0.9629For batch 215, loss is  0.0045.
216/937 [=====>........................] - ETA: 6:44 - loss: 0.0760 - accuracy: 0.9631For batch 216, loss is  0.0015.
217/937 [=====>........................] - ETA: 6:43 - loss: 0.0757 - accuracy: 0.9633For batch 217, loss is  0.0009.
218/937 [=====>........................] - ETA: 6:43 - loss: 0.0753 - accuracy: 0.9634For batch 218, loss is  0.0019.
219/937 [======>.......................] - ETA: 6:42 - loss: 0.0750 - accuracy: 0.9636For batch 219, loss is  0.0017.
220/937 [======>.......................] - ETA: 6:41 - loss: 0.0747 - accuracy: 0.9638For batch 220, loss is  0.0013.
221/937 [======>.......................] - ETA: 6:41 - loss: 0.0743 - accuracy: 0.9639For batch 221, loss is  0.0012.
222/937 [======>.......................] - ETA: 6:40 - loss: 0.0740 - accuracy: 0.9641For batch 222, loss is  0.0008.
223/937 [======>.......................] - ETA: 6:39 - loss: 0.0737 - accuracy: 0.9642For batch 223, loss is  0.0116.
224/937 [======>.......................] - ETA: 6:38 - loss: 0.0734 - accuracy: 0.9644For batch 224, loss is  0.0079.
225/937 [======>.......................] - ETA: 6:38 - loss: 0.0731 - accuracy: 0.9645For batch 225, loss is  0.0102.
226/937 [======>.......................] - ETA: 6:37 - loss: 0.0728 - accuracy: 0.9647For batch 226, loss is  0.0081.
227/937 [======>.......................] - ETA: 6:36 - loss: 0.0726 - accuracy: 0.9648For batch 227, loss is  0.0148.
228/937 [======>.......................] - ETA: 6:35 - loss: 0.0723 - accuracy: 0.9649For batch 228, loss is  0.0004.
229/937 [======>.......................] - ETA: 6:35 - loss: 0.0720 - accuracy: 0.9651For batch 229, loss is  0.0003.
230/937 [======>.......................] - ETA: 6:34 - loss: 0.0717 - accuracy: 0.9652For batch 230, loss is  0.0012.
231/937 [======>.......................] - ETA: 6:33 - loss: 0.0714 - accuracy: 0.9654For batch 231, loss is  0.0033.
232/937 [======>.......................] - ETA: 6:32 - loss: 0.0711 - accuracy: 0.9655For batch 232, loss is  0.0096.
233/937 [======>.......................] - ETA: 6:31 - loss: 0.0708 - accuracy: 0.9657For batch 233, loss is  0.0203.
234/937 [======>.......................] - ETA: 6:31 - loss: 0.0706 - accuracy: 0.9658For batch 234, loss is  0.0008.
235/937 [======>.......................] - ETA: 6:30 - loss: 0.0703 - accuracy: 0.9659For batch 235, loss is  0.0064.
236/937 [======>.......................] - ETA: 6:29 - loss: 0.0700 - accuracy: 0.9661For batch 236, loss is  0.0045.
237/937 [======>.......................] - ETA: 6:28 - loss: 0.0698 - accuracy: 0.9662For batch 237, loss is  0.0022.
238/937 [======>.......................] - ETA: 6:28 - loss: 0.0695 - accuracy: 0.9663For batch 238, loss is  0.0010.
239/937 [======>.......................] - ETA: 6:27 - loss: 0.0692 - accuracy: 0.9665For batch 239, loss is  0.0102.
240/937 [======>.......................] - ETA: 6:26 - loss: 0.0689 - accuracy: 0.9666For batch 240, loss is  0.0006.
